Part Number,Vendor,Vendor P/N,Package,Quantity On Hand,Price Each (qty 25),Description,Symbol Name,Symbol Library,Footprint Library,Family,Comments,Alternate vendor,Alternate P/N,Alternate Vendor,Alternate P/N,Datasheet
A-1027-1,Silicon Labs,SiM3U146-B-GQ,TQFP-64,,$5.68,"IC, ARM M3 micro, 64 kB flash 16 kB RAM, USB",,asp_digital,asp_ic,,,,,,,
A-1027-2,Silicon Labs,SiM3U156-B-GQ,TQFP-64,,$6.30,"IC, ARM M3 micro, 128 kB flash 32 kB RAM, USB",,asp_digital,asp_ic,,,,,,,
A-1027-3,Silicon Labs,SiM3U166-B-GQ,TQFP-64,,$7.38,"IC, ARM M3 micro, 256 kB flash 32 kB RAM, USB",,asp_digital,asp_ic,,,,,,,
A-1028-0,NXP,74HC590D,SO-16,,$0.25,"IC, 8-bit binary counter with 3-state output",,asp_digital,asp_ic,,,,,,,
A-1029-0,TI,PCM1789PW,TSSOP-24,5,$5.04,"IC, Stereo Audio DAC, 24-bit/192 kHz 113 dB SNR",,asp_converter,asp_ic,,,,,,,
A-1030-0,TI,TPS60111PWP,TSSOP-20-PAD,5,$1.50,"IC, 5V 150mA low-noise regulated charge pump",,asp_regulator,asp_ic,,,,,,,
A-1031-0,TI,PGA112AIDGST,MSOP-10,,$2.40,"IC, Programmable-gain amplifier with mux",,asp_analog,asp_ic,,,,,,,
A-1032-0,TI,TLV1117LV33DCYT,SOT-223,,$0.50,"IC, 3.3V 1A fixed output LDO regulator (6V max input)",,asp_regulator,asp_ic,,,,,,,
A-1033-0,Micrel,SY100EPT21LZI,SO-8,,$2.50,"IC, 3.3V LVPECL-to-LVTTL translator",,asp_digital,asp_ic,,,ON Semi,MC100EPT21D,,,
A-1034-0,Atmel,ATSAM3U4EA-AU,LQFP-144,,$6.65,"IC, ARM M3 micro, 256 kB flash, 52 kB RAM, HS-USB",,asp_digital,asp_ic,,,,,,,
A-1034-1,Atmel,ATSAM3U4CA-AU,LQFP-100,,$5.49,"IC, ARM M3 micro, 256 kB flash, 52 kB RAM, HS-USB",,asp_digital,asp_ic,,,,,,,
A-1035-0,Atmel,ATSAM3U2EA-AU,LQFP-144,,$4.69,"IC, ARM M3 micro, 128 kB flash, 36 kB RAM, HS-USB",,asp_digital,asp_ic,,,,,,,
A-1035-1,Atmel,ATSAM3U2CA-AU,LQFP-100,,$3.87,"IC, ARM M3 micro, 128 kB flash, 36 kB RAM, HS-USB",,asp_digital,asp_ic,,,,,,,
A-1036-0,Atmel,ATSAM3U1EB-AU,LQFP-144,,$3.84,"IC, ARM M3 micro, 64 kB flash, 20 kB RAM, HS-USB",,asp_digital,asp_ic,,,,,,,
A-1036-1,Atmel,ATSAM3U1CB-AU,LQFP-100,,$3.17,"IC, ARM M3 micro, 64 kB flash, 20 kB RAM, HS-USB",,asp_digital,asp_ic,,,,,,,
A-1037-0,NXP,PCA9538APWJ,TSSOP-16,,$1.00,"IC, I2C 8-bit expander with interrupt and reset",,asp_digital,asp_ic,,,,,,,
A-1038-0,Intersil,DG403DYZ,SO-16,,$1.43,"IC, dual SPDT analog switch, +34V",,asp_analog,asp_ic,,,,,,,
A-1039-0,TI,PCM1804DB,SSOP-28_5.3x10.2mm_Pitch0.65mm,5,$5.60,"IC, Stereo Audio ADC, 24-bit 192 kHz 111 dB SNR",,asp_converter,asp_ic,,,,,,,
A-1040-0,TI,OPA1632D,SOIC-8_3.9x4.9mm_P1.27mm,4,$4.92,"IC, OPA1632D differential audio op-amp",,asp_analog,asp_ic,,,,,,,
A-1041-0,NXP,74LVC821APW,TSSOP-24,,$0.75,"IC, 10-bit D flip-flop",,asp_digital,asp_ic,,,,,,,
A-1042-0,Xilinx,XC2C64A-7VQG44C,VQFP-44,,$2.35,"IC, 64-macrocell 1.8V CPLD, QFP44 package",XC2C64A-VQ44,asp_digital,asp_ic,,,,,,,
A-1043-0,Silicon Labs,C8051F314-GQ,LQFP-32,12,$2.78,"IC, 8051 Micro, 25 MIPS, 8 kB flash, 1280 bytes RAM, 29 digital I/O ",,asp_digital,asp_ic,,NRND,,,,,
A-1044-0,TI,TPS79333DBV,SOT-23-5,3,$0.31,"IC, 3.3V 200mA ultra-low-noise LDO voltage regulator",,asp_regulator,asp_ic,,,,,Newark,,
A-1045-0,Maxim,DS1337C#,SO-16,2,$4.96,"IC, DS1337 Real-Time Clock I2C",,,,,,,,,,
A-1046-0,TI,TPS62203DBVR,SOT-23-5,5,$1.34,"IC, TPS62203DBVT 3.3V 300mA Step-down ",,,,,,,,,,
A-1047-0,TI,LM2586S-ADJ/NOPB,TO-263-7,5,$7.06,"IC, LM2586S-ADJ 3A flyback regulator",LM2586S-ADJ,,,,,,,,,
A-1048-0,TI,TPS2061D,SO-8,8,$1.48,"IC, TPS2061D 1A USB power switch",,,,,,,,,,
A-1049-0,TI,TPS73201DBVT,SOT-23-5,5,$1.34,"IC, TPS73201DBVT Adj LDO reg 250 mA",,,,,,,,,,
A-1050-0,TI,REG1117-3.3,SOT-223,10,$1.96,"IC, REG1117-3- 3.3V 800mA LDO (15V max in)",,,,,,,,,,
A-1051-0,Linear Tech,LT1613CS5#TRMPBF,SOT-23-5,4,$3.72,"IC, LT1613 adj flyback regulator",LT1613CS5,,,,,,,,,
A-1052-0,Linear Tech,LT1611CS5#TRMPBF,SOT-23-5,10,$4.22,"IC, LT1611 adj neg regulator",LT1611CS5,,,,,,,,,
A-1053-0,Micrel,MIC5205YM5,SOT-23-5,4,$0.51,"IC, MIC5205YM5 adj LDO 150mA low-noise",,,,,,,,,,
A-1054-0,TI,TLC555CDR,SO-8,5,$0.59,"IC, TLC555CDR LinCMOS Timer",,,,,,,,,,
A-1055-0,TI,SN74LV4046ADR,SO-16,10,$1.12,"IC, SN74LV4046ADR CMOS PLL w/VCO SO-16",,asp_pll,asp_ic,,,,,,,
A-1055-1,TI,SN74LV4046AN,DIP-16_W7.62mm,5,$1.50,"IC, SN74LV4046AN CMOS PLL w/VCO, DIP-8",,asp_pll,asp_ic,,,,,,,
A-1056-0,TI,CDCE913PWR,TSSOP-14,5,$3.24,"IC, CDCE913PWR Prog. PLL/VCXO/Synth",,asp_pll,asp_ic,,,,,,,
A-1057-0,TI,SN74LVC3G34DCTR,SSOP-8,10,$0.47,"IC, SN74LVC3G34DCTR triple buffer",,,,,,,,,,
A-1058-0,TI,SN74LVC2G157DCTR,SSOP-8,10,$0.43,"IC, SN74LVC2G157DCTR single 2:1 mux",,,,,,,,,,
A-1059-0,TI,DS90LV047ATM/NOPB,SO-16,5,$2.65,"IC, DS90LV047ATM quad LVDS driver",DS90LV047ATM,,,,,,,,,
A-1060-0,Vishay,TSOP38238,,8,$0.62,"IC, IR Receiver, 38 kHz 2.7V-5.0V, 1=Out, 2=GND,3=VS",,,,,,,,,,
A-1061-0,TI,DAC8552IDGKT,MSOP-8,5,$7.33,"IC, DAC dual 16-bit SPI 10uS settling",,,,,,,,,,
A-1062-0,TI,INA137UA,SO-8,10,$2.63,"IC, INA137UA single audio line receiver",,,,,,,,,,
A-1063-0,TI,TPS79318DBV,SOT-23-5,9,$0.66,"IC, TPS79318DBV 1.8 V 200 mA ultralow noise LDO voltage regulator ",,,,,,,,,,
A-1064-0,TI,OPA1612AID,SO-8,2,$6.26,"IC, OPA1612AID 1.1nV low noise op-amp",,,,,,,,,,
A-1065-0,TI,TPA6110A2DGNR,,5,$0.87,"IC, TPA6110A2DGNR 5V stereo headphone amp",,,,,,,,,,
A-1066-0,TI,TLC2272ADCR,SO-8,12,$1.47,"IC, TLC2272ACDR dual R/R op-amp",,,,,,,,,,
A-1067-0,TI,OPA2134UA,SO-8,6,$2.83,"IC, OPA2134UA dual FET-input op-amp SO-8",,,,,,,,,,
A-1068-0,TI,TPA6111A2DGNR,,5,$1.22,"IC, TPA6111A2DGN headphone amp",,,,,,,,,,
A-1069-0,THAT,5171N32-U,,6,$9.21,"IC, 5171N32-U mic preamp controller",,,,,,,,,,
A-1070-0,THAT,1570N16-U,,,$4.77,"IC, 1570N16-U mic preamp",,,,,,,,,,
A-1071-0,TI,PGA2500IDB,SSOP-28_5.3x10.2mm_Pitch0.65mm,5,$15.90,"IC, PGA2500IDB digital-ctrl mic pre",,,,,,,,,,
A-1072-0,Cirrus,CS4270-CZZ,TSSOP-24,5,$4.23,"IC, CS4270 stereo CODEC 105dB 192kHz",,,,,,,,,,
A-1073-0,TI,PCM3010DB,SSOP-24,3,$9.55,"IC, PCM3010DB stereo CODEC 100dB 96 kHz",,,,,,,,,,
A-1074-0,TI,PCM1748KE,SSOP-16,3,$2.95,"IC, PCM1748KE stereo DAC 96 kHz",,,,,,,,,,
A-1075-0,TI,PCM1802DBR,,3,$3.20,"IC, PCM1802DBR stereo ADC 96 kHz",,,,,,,,,,
A-1076-0,NXP,PCA9306D,SO-8,0,$0.60,"IC, PCA9306D dual bidirectional I2C-bus level translator ",,asp_digital,asp_ic,,,,,,,
A-1077-0,TI,PCM4202DBT,SSOP-28_5.3x10.2mm_Pitch0.65mm,4,$8.62,"IC, PCM4202DBT stereo ADC 216kHz",,,,,,,,,,
A-1078-0,TI,DIT4096IPW,TSSOP-28,5,$3.68,"IC, DIT4096IPW dig audio transmitter 96 kHz",,,,,,,,,,
A-1079-0,TI,SRC4192IDB,SSOP-28_5.3x10.2mm_Pitch0.65mm,4,$10.39,"IC, SRC4192IDB stereo SRC 192 kHz",,,,,,,,,,
