Part Number,Vendor,Vendor P/N,Package,Quantity On Hand,Price Each (qty 25),Description,Symbol Name,Symbol Library,Footprint Library,Family,Comments,Alternate vendor,Alternate P/N,Alternate Vendor,Alternate P/N,Datasheet
A-1122-0,ON Semi,6N138,DIP-8_300,10,$0.50,"IC, 6N138 Optoisolator",,asp_digital,asp_ic,,,,,,,
A-1123-0,Silicon Labs,EFM8UB20F64G-B-QFP48,TQFP-48_7x7mm_Pitch0.5mm,0,$1.75,"IC, EFM8UB20F64G-QFP48 8051 64kB flash 4k RAM USB",,asp_digital,asp_ic,,,,,,,
A-1124-0,TI,OPA1656ID,SOIC-8_3.9x4.9mm_P1.27mm,,$2.64,"IC, OPA1656ID ultralow-noise/distortion/offset FET input op-amp",,asp_analog,asp_ic,,,,,,,
A-1124-0,Microchip,KSZ8081RNA,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,$0.84,"IC, KSZ8081RNA 10/100 Base-TX Ethernet PHY, 25 MHz input clock",,asp_digital,asp_ic,,,,,,,
A-1124-1,Microchip,KSZ8081RND,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,$0.84,"IC, KSZ8081RND 10/100 Base-TX Ethernet PHY, 50 MHz input clock",,asp_digital,asp_ic,,,,,,,
A-1125-0,Analog Devices,LT8330ES6,SOT23-6_Handsoldered,10,$6.00,"IC, LT8330 Low Iq Boost/SEPIC/Inverting converter with 1A 60V switch",,asp_regulator,asp_ic,,,,,,,
A-1126-0,THAT,1512S08-U,SOIC-8_3.9x4.9mm_P1.27mm,10,$4.34,"IC, 1512 mic preamp , SOIC-8",,asp_analog,asp_ic,,,,,,,
A-1127-0,TI,LM339ADR,SOIC-14_3.9x8.7mm_Pitch1.27mm,7,$0.25,"IC, LM339A quad comparator",,asp_analog,asp_ic,,,,,,,
A-1128-0,Silicon Labs,EFM8BB10F8G-A-SOIC16R,SOIC-16,10,$0.50,"IC, EFM8BB10 8-bit MCU 8kB Flash 512 bytes RAM",,asp_digital,asp_ic,,,,,,,
A-1129-0,Analog Devices,AD8602DRZ,SOIC-8_3.9x4.9mm_P1.27mm,5,$1.25,"IC, AD8602DRZ dual 1.1mV offset precision RRIO op-amp 8 MHz GBW",,asp_analog,asp_ic,,"Like OPA2365 but cheaper, less GBW",,,,,
A-1129-1,Analog Devices,AD8602ARZ,SOIC-8_3.9x4.9mm_P1.27mm,,$1.25,"IC, AD8602ARZ dual 80 uV offset precision RRIO op-amp 8 MHz GBW",,asp_analog,asp_ic,,"Like OPA2365 but cheaper, less GBW",,,,,
A-1130-0,TI,TM4C1294NCPDTI3,PQFP-128_14x14mm_P0.4mm,0,$12.08,"IC, TM4C1294NCPDTI3 ARM M4F 120 MHz 1024kB flash 256 kB SRAM",,asp_digital,asp_ic,,,,,,,
A-1131-0,TI,TL072CD,SOIC-8_3.9x4.9mm_P1.27mm,20,$0.50,"IC, TL072CD general purpose dual FET-input op-amp, SOIC-8",,asp_analog,asp_ic,,,,,,,
A-1132-0,TI,TL062CD,SOIC-8_3.9x4.9mm_P1.27mm,0,$0.30,"IC, TL062CD general purpose low power dual FET-input op-amp, SOIC-8",,asp_analog,asp_ic,,,,,,,
A-1133-0,Cirrus,CS8421-CZZ,TSSOP-20,0,$9.14,"IC, CS8421-CZZ audio sample-rate converter TSSOP-20",,asp_converter,asp_ic,,,,,,,
A-1134-0,Silicon Labs,Si7021-A20-IM1,DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm,0,$3.50,"IC, Si7021 temperature and humidity sensor, I2C output, DFN-6",Si7021-A20,asp_sensor,asp_ic,,,,,,,
A-1135-0,TI,SN74LVC1G139DCT,SSOP-8_2.95x2.8mm_P0.65mm,0,$0.50,"IC, SN74LVC1G139DCT 2-to-4 decoder",74LVC1G139,asp_digital,asp_ic,,,,,,,
A-1136-0,TI,SN74LVC541APW,TSSOP-20_4.4x6.5mm_P0.65mm,0,$0.40,"IC, SN74LVC541APW octal buffer TSSOP-20",74LVC541APW,asp_digital,asp_ic,,,,,,,
A-1137-0,Silicon Labs,EFM32ZG222F32-B-QFP48,TQFP-48_7x7mm_Pitch0.5mm,0,$2.00,"IC, EFM32ZG222F32-B-QFP48 ARM M0+ QFP48 24 MHz 32kB F/4kB RAM",,asp_digital,asp_ic,,,,,,,
A-1138-0,Silicon Labs,EFM8UB11F16G-C-QSOP24,QSOP-24_3.9x8.7mm_P0.635mm,14,$1.66,"IC, EFM8UB11F16G-C-QSOP24 8051 Full-Speed USB, 16k flash/2k RAM",,asp_digital,asp_ic,,,,,,,
A-1140-0,AP Memory,APS1604M-3SQR,SOIC-8_3.9x4.9mm_P1.27mm,0,$1.32,"IC, APS1604M-3SQR  PSRAM 16Mb 3.3V SO-8 ",,asp_digital,asp_ic,,,,,,,
A-1141-0,Microchip,23LC1024-I/SN,SOIC-8_3.9x4.9mm_P1.27mm,0,$2.35,"IC, 23LC1024-I/SN 1 Mb serial SRAM 2.5V-5V SO-8",,asp_digital,asp_ic,,-E is extended temp range,Microchip,23LC1024-E/SN,,,
A-1141-1,Microchip,23LC1024-I/P,DIP-8_W7.62mm,10,$2.35,"IC, 23LC1024-I/P 1 Mb serial SRAM 2.5V-5V DIP-8",,asp_digital,asp_ic,,-E is extended temp range,Microchip,23LC1024-E/SN,,,
A-1142-10k,Microchip,MCP41HV51-103E/ST,TSSOP-14_4.4x5mm_P0.65mm,25,$1.53,"IC, MCP41HV51-103E/ST 10k 256-tap volatile digital pot SPI TSSOP-14",MCP41HV51-103EST,asp_analog,asp_ic,,,,,,,
A-1143-0,Vishay,"DG201HSDY
",SOIC-16_3.9x9.9mm_P1.27mm,25,$1.39,"IC, DG201HS quad SPST analog switch ± 22V SOIC-16 narrow 25 ohm",,asp_analog,asp_ic,,,,,,,
A-1144-0,Vishay,"DG213DY-E3
",SOIC-16_3.9x9.9mm_P1.27mm,18,$1.50,"IC, DG213 quad SPST complementary analog switch ± 22V SOIC-16 narrow 25 ohm",,asp_analog,asp_ic,,,,,,,
A-1145-0,Analog Devices,"AD8617ARZ
",SOIC-8_3.9x4.9mm_P1.27mm,10,$1.99,"IC, AD8617ARZ dual R2R precision op-amp 2.2mV offset",,asp_analog,asp_ic,,,,,,,
A-1146-0,Nexperia,"74LVC594APW,118",TSSOP-16_4.4x5mm_P0.65mm,0,$0.60,"IC, 74LVC594APW 8-bit shift register (serial-to-parallel) TSSOP-16",,asp_digital,asp_ic,,,,,,,
A-1147-0,Nexperia,"74LVC04APW,118",TSSOP-14_4.4x5mm_P0.65mm,10,$0.35,"IC, 74LVC04APW 6-bit inverter TSSOP-16",,asp_digital,asp_ic,,,,,,,
B-1000-10R0,Panasonic,ERJ-6ENF10R0V,R_0805_2012Metric,105,$0.03,"Resistor, 10R0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-20R0,Panasonic,ERJ-6ENF20R0V,R_0805_2012Metric,0,$0.03,"Resistor, 20R0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-27R4,Panasonic,ERJ-6ENF27R4V,R_0805_2012Metric,92,$0.03,"Resistor, 27R4 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-33R2,Panasonic,ERJ-6ENF33R2V,R_0805_2012Metric,100,$0.03,"Resistor, 33R2 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-39R0,Panasonic,ERJ-6ENF39R0V,R_0805_2012Metric,,$0.03,"Resistor, 39R0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-40R2,Panasonic,ERJ-6ENF40R2V,R_0805_2012Metric,61,$0.03,"Resistor, 40R2 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-49R9,Panasonic,ERJ-6ENF49R9V,R_0805_2012Metric,3,$0.03,"Resistor, 49R9 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-75R0,Panasonic,ERJ-6ENF75R0V,R_0805_2012Metric,97,$0.03,"Resistor, 75R0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-100R,Panasonic,ERJ-6ENF1000V,R_0805_2012Metric,50,$0.03,"Resistor, 100R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-110R,Panasonic,ERJ-6ENF1100V,R_0805_2012Metric,120,$0.03,"Resistor, 110R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,Yageo,RC0805FR-07110RL,,,
B-1000-150R,Panasonic,ERJ-6ENF1500V,R_0805_2012Metric,97,$0.03,"Resistor, 150R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-182R,Panasonic,ERJ-6ENF1820V,R_0805_2012Metric,21,$0.03,"Resistor, 182R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-200R,Panasonic,ERJ-6ENF2000V,R_0805_2012Metric,21,$0.03,"Resistor, 200R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-220R,Panasonic,ERJ-6ENF2200V,R_0805_2012Metric,88,$0.03,"Resistor, 220R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,Yageo,RC0805FR-07220RL,,,
B-1000-243R,Panasonic,ERJ-6ENF2430V,R_0805_2012Metric,87,$0.03,"Resistor, 243R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-270R,Panasonic,ERJ-6ENF2700V,R_0805_2012Metric,88,$0.03,"Resistor, 270R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-301R,Panasonic,ERJ-6ENF3010V,R_0805_2012Metric,50,$0.03,"Resistor, 301R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-332R,Panasonic,ERJ-6ENF3320V,R_0805_2012Metric,50,$0.03,"Resistor, 332R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-402R,Panasonic,ERJ-6ENF4020V,R_0805_2012Metric,,$0.03,"Resistor, 402R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-422R,Panasonic,ERJ-6ENF4220V,R_0805_2012Metric,,$0.03,"Resistor, 422R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-442R,Panasonic,ERJ-6ENF4420V,R_0805_2012Metric,100,$0.03,"Resistor, 442R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-470R,Panasonic,ERJ-6ENF4700V,R_0805_2012Metric,,$0.03,"Resistor, 470R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-499R,Panasonic,ERJ-6ENF4990V,R_0805_2012Metric,107,$0.03,"Resistor, 499R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-649R,Panasonic,ERJ-6ENF6490V,R_0805_2012Metric,20,$0.03,"Resistor, 649R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-680R,Panasonic,ERJ-6ENF6800V,R_0805_2012Metric,,$0.03,"Resistor, 680R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-715R,Panasonic,ERJ-6ENF7150V,R_0805_2012Metric,9,$0.03,"Resistor, 715R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-732R,Panasonic,ERJ-6ENF7320V,R_0805_2012Metric,,$0.03,"Resistor, 732R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-750R,Panasonic,ERJ-6ENF7500V,R_0805_2012Metric,100,$0.03,"Resistor, 750R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-820R,Panasonic,ERJ-6ENF8200V,R_0805_2012Metric,103,$0.03,"Resistor, 820R ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-1k00,Panasonic,ERJ-6ENF1001V,R_0805_2012Metric,98,$0.03,"Resistor, 1k00 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-1k40,Panasonic,ERJ-6ENF1401V,R_0805_2012Metric,100,$0.03,"Resistor, 1k40 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-1k43,Panasonic,ERJ-6ENF1431V,R_0805_2012Metric,,$0.03,"Resistor, 1k43 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-1k50,Panasonic,ERJ-6ENF1501V,R_0805_2012Metric,95,$0.03,"Resistor, 1k50 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-1k65,Panasonic,ERJ-6ENF1651V,R_0805_2012Metric,46,$0.03,"Resistor, 1k65 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-1k80,Panasonic,ERJ-6ENF1801V,R_0805_2012Metric,,$0.03,"Resistor, 1k80 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-2k00,Panasonic,ERJ-6ENF2001V,R_0805_2012Metric,31,$0.03,"Resistor, 2k00 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-2k20,Panasonic,ERJ-6ENF2201V,R_0805_2012Metric,8,$0.03,"Resistor, 2k20 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-2k21,Panasonic,ERJ-6ENF2211V,R_0805_2012Metric,100,$0.03,"Resistor, 2k21 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,Yageo,RC0805FR-072K21L,,,
B-1000-2k32,Panasonic,ERJ-6ENF2321V,R_0805_2012Metric,39,$0.03,"Resistor, 2k32 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-2k49,Panasonic,ERJ-6ENF2491V,R_0805_2012Metric,95,$0.03,"Resistor, 2k49 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-2k67,Panasonic,ERJ-6ENF2671V,R_0805_2012Metric,88,$0.03,"Resistor, 2k67 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-2k70,Panasonic,ERJ-6ENF2701V,R_0805_2012Metric,,$0.03,"Resistor, 2k70 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-3k01,Panasonic,ERJ-6ENF3011V,R_0805_2012Metric,44,$0.03,"Resistor, 3k01 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-3k09,Panasonic,ERJ-6ENF3091V,R_0805_2012Metric,55,$0.03,"Resistor, 3k09 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-3k30,Panasonic,ERJ-6ENF3301V,R_0805_2012Metric,,$0.03,"Resistor, 3k30 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-3k32,Panasonic,ERJ-6ENF3321V,R_0805_2012Metric,53,$0.03,"Resistor, 3k32 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-3k48,Panasonic,ERJ-6ENF3481V,R_0805_2012Metric,98,$0.03,"Resistor, 3k48 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,Vishay,CRCW08053K48FKEA,,,
B-1000-4k30,Panasonic,ERJ-6ENF4301V,R_0805_2012Metric,100,$0.03,"Resistor, 4k30 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-4k32,Panasonic,ERJ-6ENF4321V,R_0805_2012Metric,50,$0.03,"Resistor, 4k32 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-4k42,Panasonic,ERJ-6ENF4421V,R_0805_2012Metric,100,$0.03,"Resistor, 4k42 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-4k70,Panasonic,ERJ-6ENF4701V,R_0805_2012Metric,92,$0.03,"Resistor, 4k70 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-4k99,Panasonic,ERJ-6ENF4991V,R_0805_2012Metric,190,$0.03,"Resistor, 4k99 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-5k11,Panasonic,ERJ-6ENF5111V,R_0805_2012Metric,100,$0.03,"Resistor, 5k11 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-6k19,Panasonic,ERJ-6ENF6191V,R_0805_2012Metric,148,$0.03,"Resistor, 5619 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-6k34,Panasonic,ERJ-6ENF6341V,R_0805_2012Metric,0,$0.03,"Resistor, 6k34 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-6k65,Panasonic,ERJ-6ENF6651V,R_0805_2012Metric,,$0.03,"Resistor, 6k65 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-6k81,Panasonic,ERJ-6ENF6811V,R_0805_2012Metric,,$0.03,"Resistor, 6k81 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-7k50,Panasonic,ERJ-6ENF7501V,R_0805_2012Metric,40,$0.03,"Resistor, 7k50 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-9k76,Panasonic,ERJ-6ENF9761V,R_0805_2012Metric,100,$0.03,"Resistor, 9k76 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-10k0,Panasonic,ERJ-6ENF1002V,R_0805_2012Metric,87,$0.03,"Resistor, 10k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-12k1,Panasonic,ERJ-6ENF1212V,R_0805_2012Metric,105,$0.03,"Resistor, 12k1 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-13k0,Panasonic,ERJ-6ENF1302V,R_0805_2012Metric,0,$0.03,"Resistor, 13k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,Yageo,RC0805FR-0713KL,,,
B-1000-13k7,Panasonic,ERJ-6ENF1372V,R_0805_2012Metric,48,$0.03,"Resistor, 13k7 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-14k0,Panasonic,ERJ-6ENF1402V,R_0805_2012Metric,100,$0.03,"Resistor, 14k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-15k0,Panasonic,ERJ-6ENF1502V,R_0805_2012Metric,97,$0.03,"Resistor, 15k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-15k4,Panasonic,ERJ-6ENF1542V,R_0805_2012Metric,24,$0.03,"Resistor, 15k4 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-17k4,Panasonic,ERJ-6ENF1742V,R_0805_2012Metric,100,$0.03,"Resistor, 17k4 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-20k0,Panasonic,ERJ-6ENF2002V,R_0805_2012Metric,148,$0.03,"Resistor, 20k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-22k1,Panasonic,ERJ-6ENF2212V,R_0805_2012Metric,37,$0.03,"Resistor, 22k1 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-22k6,Panasonic,ERJ-6ENF2262V,R_0805_2012Metric,98,$0.03,"Resistor, 22k6 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-24k0,Panasonic,ERJ-6ENF2402V,R_0805_2012Metric,,$0.03,"Resistor, 24k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-29k4,Panasonic,ERJ-6ENF2942V,R_0805_2012Metric,,$0.03,"Resistor, 29k4 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-33k0,Panasonic,ERJ-6ENF3302V,R_0805_2012Metric,0,$0.03,"Resistor, 33k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,Yageo,RC0805FR-0733KL,,,
B-1000-34k8,Panasonic,ERJ-6ENF3482V,R_0805_2012Metric,100,$0.07,"Resistor, 34k8 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-37k4,Panasonic,ERJ-6ENF3742V,R_0805_2012Metric,40,$0.03,"Resistor, 37k4 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-39k2,Panasonic,ERJ-6ENF3922V,R_0805_2012Metric,,$0.03,"Resistor, 39k2 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-44k2,Panasonic,ERJ-6ENF4422V,R_0805_2012Metric,100,$0.03,"Resistor, 44k2 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-46k4,Panasonic,ERJ-6ENF4642V,R_0805_2012Metric,23,$0.03,"Resistor, 46k4 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-47k0,Panasonic,ERJ-6ENF4702V,R_0805_2012Metric,88,$0.03,"Resistor, 47k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-47k5,Panasonic,ERJ-6ENF4752V,R_0805_2012Metric,9,$0.03,"Resistor, 47k5 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-49k9,Panasonic,ERJ-6ENF4992V,R_0805_2012Metric,,$0.03,"Resistor, 49k9 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-53k6,Panasonic,ERJ-6ENF5362V,R_0805_2012Metric,,$0.03,"Resistor, 53k6 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-56k0,Panasonic,ERJ-6ENF5602V,R_0805_2012Metric,100,$0.03,"Resistor, 56k0 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-100k,Panasonic,ERJ-6ENF1003V,R_0805_2012Metric,89,$0.03,"Resistor, 100k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-110k,Panasonic,ERJ-6ENF1103V,R_0805_2012Metric,100,$0.03,"Resistor, 110k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-118k,Panasonic,ERJ-6ENF1183V,R_0805_2012Metric,47,$0.03,"Resistor, 118k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-121k,Panasonic,ERJ-6ENF1213V,R_0805_2012Metric,97,$0.03,"Resistor, 121k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-140k,Panasonic,ERJ-6ENF1403V,R_0805_2012Metric,100,$0.03,"Resistor, 140k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-150k,Panasonic,ERJ-6ENF1503V,R_0805_2012Metric,98,$0.03,"Resistor, 150k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-180k,Panasonic,ERJ-6ENF1803V,R_0805_2012Metric,96,$0.03,"Resistor, 180k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-220k,Panasonic,ERJ-6ENF2203V,R_0805_2012Metric,92,$0.03,"Resistor, 220k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-301k,Panasonic,ERJ-6ENF3013V,R_0805_2012Metric,95,$0.04,"Resistor, 301k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-430k,Panasonic,ERJ-6ENF4303V,R_0805_2012Metric,,$0.04,"Resistor, 430k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-442k,Panasonic,ERJ-6ENF4423V,R_0805_2012Metric,98,$0.04,"Resistor, 442k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-620k,Panasonic,ERJ-6ENF6203V,R_0805_2012Metric,0,$0.03,"Resistor, 620k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-680k,Panasonic,ERJ-6ENF6803V,R_0805_2012Metric,,$0.03,"Resistor, 680k ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-1M00,Panasonic,ERJ-6ENF1004V,R_0805_2012Metric,100,$0.04,"Resistor, 1M00 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-1M50,Panasonic,ERJ-6ENF1504V,R_0805_2012Metric,95,$0.04,"Resistor, 1M50 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1000-3M00,Yageo,AC0805FR-073ML,R_0805_2012Metric,100,$0.02,"Resistor, 3M00 ohms 1% 0805 0.125W",,asp_passive,asp_passive,RES_0805_1%,,,,,,
B-1001-4R99,Vishay,CRCW25124R99FKEG,R2512,7,$0.22,"Resistor, 4R99 ohms 1% 2512 1W",,asp_passive,asp_passive,RES_2512_1%,,,,,,
B-1001-10R0,Vishay,CRCW251210R0FKEG,R2512,,$0.21,"Resistor, 10R1 ohms 1% 2512 1W",,asp_passive,asp_passive,RES_2512_1%,,,,,,
B-1002-60R4,Panasonic,ERJ-P06F60R4V,R0805,,$0.11,"Resistor, 60R4 ohms 1% 0805 0.25W",,asp_passive,asp_passive,RES_0805_1%_0.25W,,,,,,
B-1003-0R00,Panasonic,6GEY0R00V,R_0805_2012Metric,42,$0.04,"Resistor, 0 ohms 5% 0805 0.125W",,asp_passive,asp_passive,RES_0805_5%,,,,,,
B-1004-5R10,Panasonic,ERJ-8RQF5R1V,R1206,29,$0.22,"Resistor, 5R10 ohms 1% 1206 0.25W",,asp_passive,asp_passive,RES_1206_1%_0.25W,,,,,,
B-1005-10R0,Panasonic,ERJ-8ENF10R0V,R1206,100,$0.04,"Resistor, 10R0 ohms 1% 1206 0.25W",,,,,,,,,,
B-1005-243R,Panasonic,ERJ-8ENF2430V,R1206,83,$0.04,"Resistor, 243R ohms 1% 1206 0.125W",,asp_passive,asp_passive,RES_1206_1%,,,,,,
B-1005-715R,Panasonic,ERJ-6ENF7150V,R1206,9,$0.04,"Resistor, 715R ohms 1% 0805 0.125W",,,,,,,,,,
